municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28166;primaria;2022-2023;289;48.166666666666664;289;18;57.666666666666664;1;Gregorio Canella;26.0;11.115384615384615;True;0.0
28166;eso;2022-2023;1229;307.25;1229;298;291;2;Senda Galiana, Don Pelayo;18.4;66.79347826086958;True;0.0
28165;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;89.4;0.0;False;89.4
28165;infantil_ii_ciclo;2022-2023;117;39.0;117;33;33;1;Miguel de Cervantes;95.0;1.231578947368421;True;0.0
28165;primaria;2022-2023;243;40.5;243;1;38.666666666666664;1;Miguel de Cervantes;219.2;1.1085766423357666;True;0.0
28165;eso;2022-2023;189;47.25;189;4;4;1;Miguel de Cervantes;153.2;1.2336814621409922;True;0.0
28159;infantil_i_ciclo;2022-2023;9;3.0;9;11;11;1;Valdemaqueda;14.4;0.625;False;5.4
28159;infantil_ii_ciclo;2022-2023;81;27.0;81;22;22;1;Ntra. Sra. de Navahonda;16.8;4.821428571428571;True;0.0
28159;primaria;2022-2023;195;32.5;195;1;28.0;1;Ntra. Sra. de Navahonda;44.4;4.391891891891892;True;0.0
28159;eso;2022-2023;210;52.5;210;45;45;1;Sabino Fernández Campo;33.2;6.325301204819277;True;0.0
28016;infantil_i_ciclo;2022-2023;12;4.0;12;13;13;1;El Cervatillo Dormilón;0.6;20.0;True;0.0
28016;infantil_ii_ciclo;2022-2023;178;59.333333333333336;178;52;52;2;Peñalta, CRA de Lozoyuela;1.4;127.14285714285715;True;0.0
28016;primaria;2022-2023;414;69.0;414;5;59.0;2;Peñalta, CRA de Lozoyuela;5.2;79.61538461538461;True;0.0
28016;eso;2022-2023;1034;258.5;1034;172;169;3;Peñalta, De la Cabrera, Alto Jarama;3.2;323.125;True;0.0
